"Hospital","Department","Country","City","Title","Lead_Collaborator_Forename","Lead_Collaborator_Surname"
"Maidstone and Tunbridge Wells NHS Trust","Urology department","United Kingdom","Maidstone","Mr","Rory","Ferguson"
"Government Medical College, Srinagar, Kashmir","Urology","India","Srinagar","Dr","Omar","Akhtar"
"Hospital Universitario de Móstoles","Servicio de Urología","Spain","Móstoles","Dr","María Luisa","Carreño Aguilar"
"Royal Derby Hospital","Department of Urology","United Kingdom","Derby","Mr","Hywel","Satherley"
"Western General Hospital","Department of Urology","United Kingdom","Edinburgh","Mr","David Hua Wu","Lau"
"Hospital Aleman","Urology","Argentina","Buenos Aires","Dr","Luis","Rico"
"University of Alberta Hospital","Division of Urology","Canada","Edmonton","Dr","Betty","Wang"
"Royal Alexandra Hospital","Division of Urology","Canada","Edmonton","Dr","Betty","Wang"
"Mercy University Hospital","Department of Urology","Ireland","Cork","Dr","Clare","O'Connell"
"Misericordia Hospital","Division of Urology","Canada","Edmonton","Dr","Betty","Wang"
"Hospital Universitario La Paz","Servicio de Urología","Spain","Madrid","Dr","Diego","Carrion"
"frimley park hospital NHS foundation trust","urology","United Kingdom","surrey","Miss","holly","ni raghallaigh"
"Centre hospitalier universitaire de Lille","Urology department","France","Lille","Dr","Gautier","Marcq"
"Doncaster Royal Infirmary","Urology Department","United Kingdom","Doncaster","Mr","Aron","Thomas"
"University Hospital North Midlands","Department of Urology","United Kingdom","Stoke-On-Trent","Miss","Megan","Thomas"
"Klinikum Leverkusen","Klinik für Urologie","Germany","Leverkusen","Dr","Tobias","Kohl"
"Ayr Hospital","Urology Department","United Kingdom","Ayr","Mr","Ibrahim","Ibrahim"
"Hirslanden Klinik St. Anna","Urologie St. Anna","Switzerland","Lucerne","Dr","Philipp","Huber"
"Hospital Universitari Son Espases","Urology department","Spain","Palma","Dr","Jose Luis","Bauza"
"Hospital de Clinicas 'José de San Martín'","Urology","Argentina","Buenos Aires","Dr","Maximiliano","Lopez Silva"
"Royal Liverpool & Broadgreen University Hospital","Urology","United Kingdom","Liverpool","Mr","Sam","Taktak"
"UConn Health","Surgery","United States of America","Farmington","Dr","Benjamin","Ristau"
"University of Missouri","Surgery-Urology","United States of America","Columbia","Dr","Katie","Murray"
"Queen Mary Hospital","Department of Surgery","Hong Kong","Hong Kong","Dr","Henry","Lie"
"Ege University Hospital","Department of Urology","Turkey","Izmir","Dr","Fuat","Kızılay"
"The Jikei University Kashiwa Hospital","Department of Urology","Japan","Kashiwa","Dr","Wataru","Fukuokaya"
"Ashford & St. Peter's Hospital NHS Trust","Urology Department","United Kingdom","Chertsey","Mr","Fouad","Maqboul"
"Instituto Alexander Fleming","Departamento de Urología","Argentina","Buenos Aires","Dr","Jorge","Jaunarena"
"Shifa International Hospitals Ltd.","Shifa Department of Urology","Pakistan","Islamabad","Mr","Muhammad","Tahir"
"Maastricht University Medical Center","Department of Urology","Netherlands","Maastricht","Dr","Tom","Marcelissen"
"University of Kansas Health System","Urology","United States of America","Kansas City","Dr","Matthew","Banti"
"Hospital Egas Moniz","Serviço de Urologia","Portugal","Lisboa","Dr","Frederico","Portugal-Gaspar"
"Torbay and South Devon NHS Foundation Trust","Urology","United Kingdom","Torbay","Miss","Eleanor","Zimmermann"
"Ulster Hospital","Urology","United Kingdom","Belfast","Mr","Conor","McCann"
"Istanbul Medeniyet University, Istanbul Goztepe Prof. Dr. Suleyman Yalcin City Hospital","Urology","Turkey","Kadikoy","Prof","Asif","Yildirim"
"Aberdeen Royal Infirmary","Urology","United Kingdom","Aberdeen","Miss","Jelizaveta","Pereca"
"Lahey Hospital and Medical Center","Urology","United States of America","Burlington","Dr","Harras","Zaid"
"Loyola University Medical Center","Department of Urology","United States of America","Maywood","Dr","Hiten","Patel"
"Afe Babalola University Ado-ekiti(ABUAD) Multi-speciality Hospital","Department of Surgery","Nigeria","Ado-Ekiti","Dr","Ademola","Adeyeye"
"Epsom general hospital","Urology","United Kingdom","London","Miss","Madhavi","Natarajan"
"Hospital Clínico San Carlos","Urology","Spain","Madrid","Dr","Beatriz","Gutiérrez Hidalgo"
